,album,release_date,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
125,Rookie - The 4th Mini Album,2017-02-01,2,1IAEhCKD6ZSjnDdeJgvXWA,Little Little,spotify:track:1IAEhCKD6ZSjnDdeJgvXWA,0.28,0.592,0.711,0.0,0.0694,-4.938,0.0383,91.926,0.279,47,red velvet
126,Rookie - The 4th Mini Album,2017-02-01,3,7H1ly0lZJ9ebnci5B9t7Nh,Happily Ever After,spotify:track:7H1ly0lZJ9ebnci5B9t7Nh,0.0399,0.665,0.651,3.02e-05,0.0504,-6.435,0.0801,155.984,0.906,44,red velvet
127,Rookie - The 4th Mini Album,2017-02-01,4,32ou07yoda0mO4lw9pPpzC,Talk To Me,spotify:track:32ou07yoda0mO4lw9pPpzC,0.288,0.584,0.813,3.68e-06,0.345,-4.809,0.171,164.79,0.881,49,red velvet
128,Rookie - The 4th Mini Album,2017-02-01,5,3CihjB4pu58o2ititZw9Yg,Body Talk,spotify:track:3CihjB4pu58o2ititZw9Yg,0.00652,0.526,0.828,4.05e-05,0.147,-5.344,0.07,185.946,0.158,46,red velvet
129,Rookie - The 4th Mini Album,2017-02-01,6,2OIENkx2TGwXbfGgxgs6Dt,마지막 사랑 Last Love,spotify:track:2OIENkx2TGwXbfGgxgs6Dt,0.565,0.331,0.509,0.0,0.108,-6.231,0.0331,129.479,0.137,40,red velvet
130,Russian Roulette - The 3rd Mini Album,2016-09-07,1,5HiSc2ZCGn8L3cH3qSwzBT,러시안 룰렛 Russian Roulette,spotify:track:5HiSc2ZCGn8L3cH3qSwzBT,0.055,0.726,0.903,0.000225,0.158,-2.277,0.0357,129.986,0.958,61,red velvet
131,Russian Roulette - The 3rd Mini Album,2016-09-07,2,22v5j98MRwc6p5KgwHvpBZ,Lucky Girl,spotify:track:22v5j98MRwc6p5KgwHvpBZ,0.0299,0.6,0.828,0.0,0.334,-3.453,0.207,169.758,0.66,45,red velvet
132,Russian Roulette - The 3rd Mini Album,2016-09-07,3,4z5aqQOYYsvjXuXjjhKVJ2,Bad Dracula,spotify:track:4z5aqQOYYsvjXuXjjhKVJ2,0.207,0.644,0.931,0.0,0.232,-1.842,0.116,93.986,0.668,43,red velvet
133,Russian Roulette - The 3rd Mini Album,2016-09-07,4,3G6iqKcRzEYwSu9zE2qAMW,Sunny Afternoon,spotify:track:3G6iqKcRzEYwSu9zE2qAMW,0.0844,0.747,0.841,0.0,0.38,-3.648,0.0787,95.028,0.605,42,red velvet
134,Russian Roulette - The 3rd Mini Album,2016-09-07,5,21C7B7PWYDW00czamOjleO,Fool,spotify:track:21C7B7PWYDW00czamOjleO,0.527,0.634,0.699,5.99e-05,0.0673,-3.898,0.109,177.941,0.774,43,red velvet
135,Russian Roulette - The 3rd Mini Album,2016-09-07,6,5n8SuNZuDaElJQMt0ySzCf,Some Love,spotify:track:5n8SuNZuDaElJQMt0ySzCf,0.0649,0.744,0.907,0.000685,0.272,-3.154,0.0567,99.988,0.746,42,red velvet
136,Russian Roulette - The 3rd Mini Album,2016-09-07,7,6s25gIYsBc8oF0VQFK7wzt,My Dear,spotify:track:6s25gIYsBc8oF0VQFK7wzt,0.327,0.55,0.798,0.0,0.0905,-2.681,0.131,201.965,0.847,38,red velvet
137,Yossism (Music from Telemonster),2016-05-02,1,5VUwWt2CIuGCxFTDpNxuCY,Yossism (Music from Telemonster),spotify:track:5VUwWt2CIuGCxFTDpNxuCY,0.0874,0.708,0.95,0.0,0.0631,-1.136,0.0458,140.016,0.905,24,red velvet
138,투유 프로젝트 - 슈가맨 Pt.13,2016-01-13,1,5CyF5aY1macDjgtd4fR45B,너에게 원한건,spotify:track:5CyF5aY1macDjgtd4fR45B,0.0379,0.772,0.881,0.0,0.353,-4.971,0.0813,115.99,0.448,25,red velvet
139,투유 프로젝트 - 슈가맨 Pt.13,2016-01-13,2,0ZyQzJ7tMMX2dd6Atd4yBC,상상 속의 너,spotify:track:0ZyQzJ7tMMX2dd6Atd4yBC,0.437,0.679,0.817,0.0,0.346,-3.202,0.0526,140.017,0.715,19,red velvet
140,세가지 소원 Wish Tree - WINTER GARDEN,2015-12-18,1,3wtDVPGUMTHgsVdpr9uYin,세가지 소원 Wish Tree,spotify:track:3wtDVPGUMTHgsVdpr9uYin,0.643,0.563,0.534,0.0,0.0989,-4.35,0.0273,114.161,0.344,39,red velvet
