,album,release_date,track_number,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
83,Fanfare,2020-07-08,3,Fanfare - Lee Hae Sol Remix,0.033,0.722,0.895,0.00020800000000000001,0.13699999999999998,-3.46,0.038,119.947,0.628,46,twice
84,Fanfare,2020-07-08,4,Fanfare - Instrumental,8.02e-05,0.669,0.9229999999999999,0.618,0.0644,-5.0889999999999995,0.0497,114.977,0.884,40,twice
85,Fanfare,2020-06-19,1,Fanfare,0.0302,0.669,0.956,9.78e-06,0.0764,-2.49,0.126,114.92200000000001,0.81,69,twice
86,Fake & True,2019-10-18,1,Fake & True,0.0569,0.6779999999999999,0.8079999999999999,0.0,0.28800000000000003,-3.9730000000000003,0.0599,125.93799999999999,0.765,57,twice
87,Breakthrough,2019-07-24,2,FANCY - Japanese ver.,0.0238,0.6920000000000001,0.847,0.0,0.441,-1.9469999999999998,0.0534,132.053,0.7120000000000001,47,twice
88,Breakthrough,2019-07-24,3,Breakthrough - taalthechoi Remix,0.00822,0.78,0.865,0.0020800000000000003,0.0614,-3.457,0.0444,124.992,0.703,35,twice
89,Breakthrough,2019-07-24,4,Breakthrough - Instrumental,0.0006360000000000001,0.828,0.574,0.816,0.0834,-6.405,0.0564,112.012,0.539,29,twice
90,HAPPY HAPPY,2019-07-17,2,The Best Thing I Ever Did - Japanese ver.,0.371,0.742,0.67,0.0,0.11,-3.815,0.0238,104.98,0.48100000000000004,36,twice
91,HAPPY HAPPY,2019-07-17,3,HAPPY HAPPY - collapsedone Remix,0.0777,0.7509999999999999,0.917,0.00207,0.131,-1.202,0.0478,100.007,0.42700000000000005,35,twice
92,HAPPY HAPPY,2019-07-17,4,HAPPY HAPPY - Instrumental,0.0018399999999999998,0.612,0.9359999999999999,0.752,0.301,-3.74,0.0846,180.018,0.541,26,twice
93,Breakthrough,2019-06-12,1,Breakthrough,0.0439,0.868,0.728,0.0,0.0975,-3.338,0.11,112.006,0.616,62,twice
