,album,release_date,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
59,BLACKPINK IN YOUR AREA,2018-12-05,5,5DVgfulxeJZJYc8FseyfUf,AS IF IT’S YOUR LAST,spotify:track:5DVgfulxeJZJYc8FseyfUf,0.123,0.767,0.868,0.0,0.0681,-2.252,0.0733,125.066,0.506,51,blackpink
61,BLACKPINK IN YOUR AREA,2018-12-05,7,02h4inVwwNX1cMuGCDtsgV,FOREVER YOUNG,spotify:track:02h4inVwwNX1cMuGCDtsgV,0.0816,0.635,0.969,0.0,0.0613,-1.088,0.0565,110.046,0.46,62,blackpink
62,BLACKPINK IN YOUR AREA,2018-12-05,8,6OKXcx7tClGAS0o2cOTl2v,REALLY,spotify:track:6OKXcx7tClGAS0o2cOTl2v,0.0284,0.715,0.874,0.0,0.28,-2.318,0.104,142.016,0.951,60,blackpink
63,BLACKPINK IN YOUR AREA,2018-12-05,9,7IS4NciwYPs1wMywOKx69z,SEE U LATER,spotify:track:7IS4NciwYPs1wMywOKx69z,0.0318,0.774,0.907,0.0,0.544,-3.729,0.114,107.004,0.641,61,blackpink
65,How You Like That,2020-06-26,1,3vAn0qZzdyuHamcrpkfiX3,How You Like That,spotify:track:3vAn0qZzdyuHamcrpkfiX3,0.0694,0.828,0.782,3.41e-05,0.0544,-4.014,0.0918,130.013,0.351,89,blackpink
67,Sour Candy (with BLACKPINK),2020-05-28,1,6R6ZoHTypt5lt68MWbzZXv,Sour Candy (with BLACKPINK),spotify:track:6R6ZoHTypt5lt68MWbzZXv,0.0604,0.752,0.87,1.12e-05,0.489,-3.812,0.0623,120.006,0.784,83,blackpink
68,DDU-DU DDU-DU (Remix JP Ver.),2019-10-16,1,2ERO7JFeaRMIdlEn9JTryn,DDU-DU DDU-DU - Remix JP Ver.,spotify:track:2ERO7JFeaRMIdlEn9JTryn,0.0223,0.661,0.876,0.000167,0.07,-7.122,0.0662,144.981,0.619,52,blackpink
69,KILL THIS LOVE (JP Ver.),2019-10-16,1,3mpGXkkjhY8K5C9OsaCMBo,KILL THIS LOVE - JP Ver.,spotify:track:3mpGXkkjhY8K5C9OsaCMBo,0.344,0.753,0.846,0.002,0.419,-4.77,0.261,131.924,0.542,68,blackpink
70,KILL THIS LOVE (JP Ver.),2019-10-16,2,38eKmp6QjELXKgLh0pePfG,DON'T KNOW WHAT TO DO - JP Ver.,spotify:track:38eKmp6QjELXKgLh0pePfG,0.0658,0.662,0.614,0.0,0.1,-4.105,0.0396,129.94,0.413,46,blackpink
71,KILL THIS LOVE (JP Ver.),2019-10-16,3,6HHbjSWWGh6j9JcmLZ41Py,KICK IT - JP Ver.,spotify:track:6HHbjSWWGh6j9JcmLZ41Py,0.0145,0.792,0.705,0.0,0.0462,-3.974,0.0492,124.889,0.493,44,blackpink
72,KILL THIS LOVE (JP Ver.),2019-10-16,4,04xEHIAK4MsI7ZSN1hSDQN,HOPE NOT - JP Ver.,spotify:track:04xEHIAK4MsI7ZSN1hSDQN,0.563,0.584,0.342,0.0,0.128,-5.702,0.0276,109.557,0.199,43,blackpink
73,KILL THIS LOVE (JP Ver.),2019-10-16,5,04LWm93tY9nwdlI9EO54HP,DDU-DU DDU-DU - Remix -JP Ver.-,spotify:track:04LWm93tY9nwdlI9EO54HP,0.0256,0.649,0.872,0.000275,0.0692,-7.138,0.0624,144.94,0.619,0,blackpink
74,KILL THIS LOVE,2019-04-05,1,18PergoIrGmRyeYxnaXJN2,Kill This Love,spotify:track:18PergoIrGmRyeYxnaXJN2,0.32,0.738,0.861,0.00175,0.325,-4.141,0.237,131.974,0.58,79,blackpink
